Business Name,Phone,Address,Website Status,Original URL,Google Maps Link,Score,Reason
"+ home ( Dream Home Textil, S.L )",961 11 14 51,"Carretera Hermita Sant Josep del Pla , 13-15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=4189562921452165600,100,no website (highest need); has phone; has address; independent business
ANMITEX SL.,962 36 91 89,"Camí els Tarongers, 14AL, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=12847788357628728682,100,no website (highest need); has phone; has address; independent business
ARSLAN&DIANA,643 67 02 29,"Av. Alameda Camilo Sesto, 62, 03803 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=3890856151883364287,100,no website (highest need); has phone; has address; independent business
Amittex,631 07 88 94,"Avinguda de Xàtiva, 94, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=8020157278928090938,100,no website (highest need); has phone; has address; independent business
Athenea Moltó y Sirvent,965 33 44 86,"Carrer Mossèn Vicent Albors, 2, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=5959527197618534832,100,no website (highest need); has phone; has address; independent business
Belda Moda,962 38 12 80,"Av. Jacinto Benavente, 50D, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=15437818090946917003,100,no website (highest need); has phone; has address; independent business
Blanc Textil S.A.,962 91 11 23,"Carrer de l'Ordim, 10, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=4443324984814416775,100,no website (highest need); has phone; has address; independent business
Bordados Regisol,962 91 04 28,"Polígono Industrial El Plà, Carrer dels Diables, 70-72, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=1851649674668224263,100,no website (highest need); has phone; has address; independent business
CROMIA ACABADOS TEXTILES,962 91 61 27,"Av. del Textil, 23, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=7733615660481914096,100,no website (highest need); has phone; has address; independent business
Chinchilla Textil Hogar S.L.,965 54 50 40,"Carretera de Alicante Nº82, 03801 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=17556120887982239636,100,no website (highest need); has phone; has address; independent business
Confecciones Macu Polo,686 84 86 70,"Av. d'Alacant, 80, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=10035072329695915445,100,no website (highest need); has phone; has address; independent business
Confecciones Muñoz,924 80 83 25,"Carrer Sant Doménec, 6, 03801 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3763467040504936566,100,no website (highest need); has phone; has address; independent business
Confecciones la Madrileña,965 33 15 99,"C/ Na Saurina d'Entença, 4, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=6507957006707692400,100,no website (highest need); has phone; has address; independent business
Confeccions Espinós,962 35 02 02,"Carrer Joan Beneyto Bernàcer, 29B, 46880 Bocairent, Valencia, Spain",no_website,,https://maps.google.com/?cid=11003432257683727233,100,no website (highest need); has phone; has address; independent business
Confección Muestrarios Textiles - Juany Gea Robles,962 38 49 72,"Carrer Escultor Juli Lleonard Capuz, 15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=3438349533886246158,100,no website (highest need); has phone; has address; independent business
Confección y Textiles Para El Hogar,962 38 11 77,"Av. de la Diputació, 21, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=11740574589132953862,100,no website (highest need); has phone; has address; independent business
Costureo by Angela,637 33 12 56,"Carrer del Pintor Josep Segrelles, 31A, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=1078045234220580824,100,no website (highest need); has phone; has address; independent business
Creaciones Germanísimo,627 07 25 88,"Carrer Azorín, 3, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3247370759747295999,100,no website (highest need); has phone; has address; independent business
D'AM TEXTIL C. B.,965 54 71 55,"Carrer Filà Verds, 1, A, 03801 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=17183513282835598878,100,no website (highest need); has phone; has address; independent business
DI&MAR,965 52 55 70,"Gregorio, Carrer Gregori Casasempere Juan, Nº 30, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=17318258102969875465,100,no website (highest need); has phone; has address; independent business
El Costurero de Mayka,650 78 02 20,"Carrer Joan de Joanes, 5, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=12340050518676837470,100,no website (highest need); has phone; has address; independent business
El Didal d'Or,962 91 32 33,"C. Juan XXIII, nº6, izq, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=12677305240445358050,100,no website (highest need); has phone; has address; independent business
Gala,965 52 20 81,"Carrer Pintor Cabrera, 3, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3388546400177811694,100,no website (highest need); has phone; has address; independent business
HILADOS MURAVO S.L.U,966 51 64 85,"C. B, 17, 03804 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=18435776345114605454,100,no website (highest need); has phone; has address; independent business
Hogar Pean/ Hogar Hogar,962 38 12 48,"Calle de, C. José Simo, 21, pta.1, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=9580239788019197880,100,no website (highest need); has phone; has address; independent business
Home Olé,677 84 40 80,"Av. del Textil, 11, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=7127276650807150842,100,no website (highest need); has phone; has address; independent business
Inma Soriano - Corte y confección,646 58 53 08,"Av. d'Albaida, 17, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=14197838625879244265,100,no website (highest need); has phone; has address; independent business
Jeydu Textiles,699 13 37 51,"Carrer del Pintor Josep Segrelles, 15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=9641280196967468682,100,no website (highest need); has phone; has address; independent business
Joséphine le Boutique,642 41 52 55,"Carrer els Alçamora, 11, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=17500960723054259055,100,no website (highest need); has phone; has address; independent business
La Francesa (Ropa de hogar),965 54 01 91,"C/ Sant Nicolau, 3, 03801 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=15392854037747054091,100,no website (highest need); has phone; has address; independent business
